PubmedID,Title,PublicationDate,NonAcademicAuthors,CompanyAffiliations,CorrespondingAuthorEmail
39871101,Development of a CT radiomics prognostic model for post renal tumor resection overall survival based on transformer enhanced K-means clustering.,2025 Jan 27,N/A,N/A,N/A
39871091,Validity of one-time phantomless patient-specific quality assurance in proton therapy with regard to the reproducibility of beam delivery.,2025 Jan 27,N/A,N/A,N/A
39871049,Improving Medical Education in Oncology: Enhancing Students' Understanding of Cancer Treatments Through Multidisciplinary Clinical Rotations.,2025 Jan 27,N/A,N/A,N/A
39871027,Fear of cancer recurrence in long-term colorectal cancer survivors: a nationwide cross-sectional study.,2025 Jan 27,N/A,N/A,N/A
39871024,Effect of terahertz radiation on cells and cellular structures.,2025 Jan 27,N/A,N/A,N/A
39871021,The citizen perspective on challenges and rehabilitation needs among individuals treated for head and neck cancer: a qualitative study.,2025 Jan 28,N/A,N/A,N/A
39871017,Exploring the role of multimodal [(18)F]F-PSMA-1007 PET/CT and multiparametric MRI data in predicting ISUP grading of primary prostate cancer.,2025 Jan 28,N/A,N/A,N/A
39871016,Deep learning-based Monte Carlo dose prediction for heavy-ion online adaptive radiotherapy and fast quality assurance: A feasibility study.,2025 Jan 27,N/A,N/A,N/A
39871010,Screening Young Adult Cancer Patients for Vocational Rehabilitation Services: A Vocational Rehabilitation Readiness Screening Tool.,2025 Jan 28,N/A,N/A,N/A
39870995,Multi-level Factors to Build Confidence and Support in Active Surveillance for Low-Risk Prostate Cancer: A Qualitative Study.,2025 Jan 27,N/A,N/A,N/A
